Date,Open,High,Low,Close,Change,Change(%),Ratio(%),Volume,Value(T),Interval_High_Open,Interval_Open_From_LastDay,Interval_Open_From_LastDay(%)
8/30/2021,438,462,434,450,Rise,14,3.21,"5,444,095","244,258,988",24,2,0.458715596
8/27/2021,432,462,410,436,Unchnaged,0,0,"5,179,738","229,353,044",30,-4,-0.917431193
8/26/2021,470,472,436,436,Lower limit,32,6.83,"5,266,867","239,652,022",2,2,0.427350427
8/25/2021,476,500,452,468,Unchnaged,0,0,"14,433,942","691,292,155",24,8,1.709401709
8/24/2021,424,494,408,468,Rise,48,11.42,"14,218,161","640,991,240",70,4,0.952380952
8/23/2021,412,428,406,420,Rise,16,3.96,"6,868,745","286,914,044",16,8,1.98019802
8/20/2021,374,412,350,404,Rise,30,8.02,"15,879,601","624,438,132",38,0,0
8/19/2021,378,390,374,374,Lower limit,28,6.96,"4,987,581","187,457,692",12,-24,-5.970149254
8/18/2021,402,432,402,402,Lower limit,30,6.94,"7,377,453","301,483,054",30,-30,-6.944444444
8/16/2021,440,456,432,432,Lower limit,32,6.89,"2,137,578","92,923,566",16,-24,-5.172413793
8/13/2021,498,498,464,464,Lower limit,34,6.82,"3,030,691","141,839,163",0,0,0
8/12/2021,530,560,498,498,Lower limit,37,6.91,"6,587,124","339,579,893",30,-5,-0.934579439
8/10/2021,570,570,535,535,Lower limit,35,6.14,"5,264,310","283,999,395",0,0,0
8/9/2021,620,630,570,570,Lower limit,40,6.55,"9,331,117","549,013,785",10,10,1.639344262
8/6/2021,525,630,515,610,Rise,90,17.3,"15,127,795","884,468,241",105,5,0.961538462
8/5/2021,510,550,496,520,Rise,15,2.97,"7,719,002","405,905,546",40,5,0.99009901
8/4/2021,486,520,476,505,Rise,21,4.33,"11,667,331","579,497,211",34,2,0.41322314
8/3/2021,446,498,432,484,Rise,42,9.5,"20,748,809","954,694,526",52,4,0.904977376
8/2/2021,360,446,358,442,Rise,84,23.46,"17,917,144","711,515,842",86,2,0.558659218
7/30/2021,364,370,356,358,Fall,2,0.55,"2,951,471","107,198,265",6,4,1.111111111
7/29/2021,372,374,360,360,Fall,10,2.7,"4,563,645","166,956,925",2,2,0.540540541
7/28/2021,380,386,368,370,Fall,6,1.59,"4,758,321","179,446,432",6,4,1.063829787
7/27/2021,380,394,366,376,Rise,2,0.53,"10,167,936","387,407,035",14,6,1.604278075
7/26/2021,350,374,346,374,Rise,28,8.09,"9,076,442","330,333,692",24,4,1.156069364
7/23/2021,348,362,342,346,Unchnaged,0,0,"9,012,921","316,984,265",14,2,0.578034682
7/22/2021,342,380,328,346,Rise,10,2.97,"31,577,794","1,125,874,338",38,6,1.785714286
7/21/2021,278,336,276,336,Rise,60,21.73,"6,946,868","210,368,371",58,2,0.724637681
7/19/2021,276,286,270,276,Rise,2,0.72,"1,585,329","44,360,521",10,2,0.729927007
7/16/2021,280,286,272,274,Fall,4,1.43,"1,017,635","28,223,088",6,2,0.71942446
7/15/2021,278,290,274,278,Rise,4,1.45,"1,843,487","51,792,545",12,4,1.459854015
7/14/2021,276,282,266,274,Fall,2,0.72,"1,287,232","35,157,347",6,0,0
7/13/2021,276,300,262,276,Unchnaged,0,0,"4,597,299","130,517,257",24,0,0
7/12/2021,286,286,274,276,Fall,8,2.81,"827,856","22,973,890",0,2,0.704225352
7/9/2021,294,296,276,284,Fall,8,2.73,"1,521,368","42,871,349",2,2,0.684931507
7/8/2021,302,304,290,292,Fall,8,2.66,"2,429,571","71,913,935",2,2,0.666666667
7/7/2021,286,314,286,300,Rise,14,4.89,"6,610,659","200,789,453",28,0,0
7/6/2021,278,296,274,286,Rise,10,3.62,"3,146,276","89,321,335",18,2,0.724637681
7/5/2021,282,286,274,276,Fall,6,2.12,"1,534,033","42,751,348",4,0,0
7/2/2021,272,290,268,282,Rise,10,3.67,"3,951,102","111,046,256",18,0,0
7/1/2021,278,282,266,272,Fall,4,1.44,"1,484,039","40,349,681",4,2,0.724637681
6/30/2021,276,304,264,276,Rise,2,0.72,"5,035,958","142,601,894",28,2,0.729927007
6/29/2021,286,296,266,274,Fall,10,3.52,"2,944,852","80,754,401",10,2,0.704225352
6/28/2021,308,310,284,284,Lower limit,20,6.57,"2,668,793","77,894,160",2,4,1.315789474
6/25/2021,302,324,300,304,Rise,2,0.66,"3,673,373","114,316,432",22,0,0
6/24/2021,320,332,300,302,Fall,18,5.62,"3,271,758","101,872,589",12,0,0
6/23/2021,350,358,320,320,Lower limit,22,6.43,"3,704,574","124,769,819",8,8,2.339181287
6/22/2021,330,356,324,342,Rise,26,8.22,"6,934,051","236,292,633",26,14,4.430379747
6/21/2021,322,334,300,316,Fall,6,1.86,"5,457,930","170,125,958",12,0,0
6/18/2021,284,350,284,322,Rise,18,5.92,"10,441,352","342,007,081",66,-20,-6.578947368
6/17/2021,304,304,304,304,Lower limit,22,6.74,"413,199","12,561,249",0,-22,-6.748466258
6/16/2021,340,340,326,326,Lower limit,24,6.85,"339,780","11,111,907",0,-10,-2.857142857
6/15/2021,376,382,350,350,Lower limit,26,6.91,"4,099,917","145,553,387",6,0,0
6/14/2021,392,426,362,376,Fall,10,2.59,"9,163,065","365,137,429",34,6,1.554404145
6/11/2021,412,430,382,386,Fall,24,5.85,"6,921,188","276,400,858",18,2,0.487804878
6/10/2021,410,410,410,410,,0,0,0,0,0,0,0
6/9/2021,370,416,366,410,Rise,42,11.41,"15,290,520","606,929,412",46,2,0.543478261
6/8/2021,380,450,342,368,Rise,2,0.54,"18,079,357","690,367,381",70,14,3.825136612
6/7/2021,300,366,300,366,Upper limit,72,24.48,"14,535,462","504,585,783",66,6,2.040816327
6/4/2021,242,294,242,294,Rise,52,21.48,"21,640,317","596,485,673",52,0,0
6/3/2021,192,252,192,242,Rise,50,26.04,"19,498,368","438,960,580",60,0,0
6/2/2021,187,195,180,192,Rise,8,4.34,"5,800,374","109,180,937",8,3,1.630434783
5/31/2021,168,189,166,184,Rise,19,11.51,"10,771,926","191,830,207",21,3,1.818181818
5/28/2021,165,208,153,165,Rise,3,1.85,"28,864,335","521,141,007",43,3,1.851851852
5/27/2021,127,162,124,162,Upper limit,42,35,"17,374,235","258,624,260",35,7,5.833333333
5/25/2021,125,128,117,120,Fall,5,4,"6,217,710","75,432,812",3,0,0
5/24/2021,112,133,112,125,Rise,13,11.6,"14,812,995","183,197,424",21,0,0
5/21/2021,90,120,89,112,Rise,22,24.44,"16,173,009","173,940,865",30,0,0
5/20/2021,87,91,86,90,Rise,3,3.44,"1,216,869","10,858,296",4,0,0
5/19/2021,85,88,84,87,Rise,2,2.35,"1,069,904","9,257,326",3,0,0
5/18/2021,84,87,83,85,Unchnaged,0,0,"913,795","7,802,894",3,-1,-1.176470588
5/17/2021,90,91,85,85,Fall,5,5.55,"969,199","8,445,531",1,0,0
5/11/2021,90,91,88,90,Unchnaged,0,0,"756,341","6,775,667",1,0,0
5/10/2021,91,93,88,90,Fall,1,1.09,"942,783","8,512,319",2,0,0
5/7/2021,92,95,90,91,Fall,2,2.15,"1,252,281","11,598,249",3,-1,-1.075268817
5/6/2021,97,99,91,93,Fall,4,4.12,"2,502,065","23,734,592",2,0,0
5/5/2021,91,97,89,97,Rise,7,7.77,"2,882,000","26,879,136",6,1,1.111111111
5/4/2021,87,91,87,90,Rise,3,3.44,"2,035,017","18,152,603",4,0,0
5/3/2021,87,90,85,87,Unchnaged,0,0,"1,055,568","9,297,905",3,0,0
4/30/2021,88,92,86,87,Fall,1,1.13,"1,422,817","12,689,144",4,0,0
4/29/2021,85,89,84,88,Rise,3,3.52,"1,765,096","15,357,969",4,0,0
